LUTs,Registers,BRAMs,DSPs,WNS (ns),Total Power (W),Dynamic Power (W),Static Power (W),D,H,int bits,frac bits,result,Time Utilization,MAE
2148,88,0,108,8.08,0.086,0.002,0.084,4,4,6,4,success,0.192,0.9047005208333333
3487,104,0,108,7.858,0.086,0.002,0.084,4,4,6,6,success,0.21420000000000003,0.11475260416666666
4175,120,0,108,8.269,0.086,0.002,0.084,4,4,6,8,success,0.17309999999999998,0.0
2352,88,0,120,8.186,0.086,0.002,0.084,5,4,6,4,success,0.1814,1.0984895833333332
3726,104,0,120,8.383,0.086,0.002,0.084,5,4,6,6,success,0.1617000000000001,0.09848958333333334
4451,120,0,120,8.309,0.086,0.002,0.084,5,4,6,8,success,0.16910000000000008,0.0
2556,88,0,132,8.418,0.086,0.002,0.084,6,4,6,4,success,0.15820000000000006,1.0360546875
3967,104,0,132,8.231,0.086,0.002,0.084,6,4,6,6,success,0.1769,0.1671484375
4725,120,0,132,8.218,0.086,0.002,0.084,6,4,6,8,success,0.1782,0.0
2760,88,0,144,8.432,0.086,0.002,0.084,7,4,6,4,success,0.15679999999999997,0.8664192708333334
4206,104,0,144,8.475,0.086,0.002,0.084,7,4,6,6,success,0.15250000000000002,0.4294661458333333
5000,120,0,144,7.795,0.086,0.003,0.084,7,4,6,8,success,0.2205,0.0
2964,88,0,156,7.845,0.086,0.002,0.084,8,4,6,4,success,0.21550000000000002,0.7946614583333333
4449,104,0,156,8.406,0.086,0.002,0.084,8,4,6,6,success,0.15939999999999993,0.368515625
5279,120,0,156,7.983,0.086,0.002,0.084,8,4,6,8,success,0.20170000000000005,0.0
2940,110,0,150,8.386,0.086,0.002,0.084,4,5,6,4,success,0.16140000000000007,1.0949166666666668
4655,130,0,150,8.405,0.087,0.003,0.084,4,5,6,6,success,0.15950000000000006,0.47872916666666665
5564,150,0,150,8.432,0.087,0.003,0.084,4,5,6,8,success,0.15679999999999997,0.0
3195,110,0,165,7.633,0.087,0.003,0.084,5,5,6,4,success,0.2367,1.40278125
4957,130,0,165,8.133,0.087,0.003,0.084,5,5,6,6,success,0.1867000000000001,0.5005729166666667
5905,150,0,165,8.326,0.087,0.003,0.084,5,5,6,8,success,0.16739999999999994,0.0
3450,110,0,180,8.516,0.086,0.002,0.084,6,5,6,4,success,0.1484,1.14528125
5258,130,0,180,8.376,0.087,0.003,0.084,6,5,6,6,success,0.16240000000000004,0.4496145833333333
6252,150,0,180,8.396,0.087,0.003,0.084,6,5,6,8,success,0.16039999999999993,0.0
3705,110,0,195,8.437,0.087,0.003,0.084,7,5,6,4,success,0.15630000000000005,0.86921875
