LUTs,Registers,BRAMs,DSPs,WNS (ns),Total Power (W),Dynamic Power (W),Static Power (W),D,H,int bits,frac bits,result,Time Utilization,Execution Time (min),Part Name,Family Name,MAE
8828,72,0,0,8.169,0.086,0.002,0.084,4,4,6,2,success,0.18309999999999996,1.9708217899004619,xc7a100tcsg324-1,Artix-7,0.23463933270676693
2148,88,0,108,8.08,0.086,0.002,0.084,4,4,6,4,success,0.192,1.7308221975962321,xc7a100tcsg324-1,Artix-7,0.12660184352517986
3487,104,0,108,7.858,0.086,0.002,0.084,4,4,6,6,success,0.21420000000000003,1.8168621063232422,xc7a100tcsg324-1,Artix-7,0.03499626706484642
4175,120,0,108,8.269,0.086,0.002,0.084,4,4,6,8,success,0.17309999999999998,1.8267711321512858,xc7a100tcsg324-1,Artix-7,0.0
9829,72,0,0,8.495,0.085,0.002,0.084,5,4,6,2,success,0.15050000000000008,2.047610394159953,xc7a100tcsg324-1,Artix-7,0.21414412313432835
2352,88,0,120,8.186,0.086,0.002,0.084,5,4,6,4,success,0.1814,1.8016814271608987,xc7a100tcsg324-1,Artix-7,0.1315150176678445
3726,104,0,120,8.383,0.086,0.002,0.084,5,4,6,6,success,0.1617000000000001,1.8143423597017925,xc7a100tcsg324-1,Artix-7,0.031556633959044365
4451,120,0,120,8.309,0.086,0.002,0.084,5,4,6,8,success,0.16910000000000008,1.7791277805964152,xc7a100tcsg324-1,Artix-7,0.0
10822,72,0,0,8.326,0.086,0.002,0.084,6,4,6,2,success,0.16739999999999994,1.9426538983980814,xc7a100tcsg324-1,Artix-7,0.28483677973977695
2556,88,0,132,8.418,0.086,0.002,0.084,6,4,6,4,success,0.15820000000000006,1.6447024424870809,xc7a100tcsg324-1,Artix-7,0.0787047261484099
3967,104,0,132,8.231,0.086,0.002,0.084,6,4,6,6,success,0.1769,1.723504157861074,xc7a100tcsg324-1,Artix-7,0.03520885942760943
4725,120,0,132,8.218,0.086,0.002,0.084,6,4,6,8,success,0.1782,1.7133181929588317,xc7a100tcsg324-1,Artix-7,0.0
