LUTs,Registers,BRAMs,DSPs,WNS (ns),Total Power (W),Dynamic Power (W),Static Power (W),Time Utilization,D,H,int bits,frac bits,MAE,RMSE,result,Execution Time (m)
0,0,0,0,0.0,0.0,0.0,0.0,0.0,64,16,6,24,0.0,0.0,"exception: (137, ['/tools/Xilinx/Vivado/2024.1/bin/vivado', '-mode', 'batch', '-source', 'run_vivado.tcl'])",23.431274747848512
0,0,0,0,0.0,0.0,0.0,0.0,0.0,64,16,6,19,0.0,0.0,"exception: (137, ['/tools/Xilinx/Vivado/2024.1/bin/vivado', '-mode', 'batch', '-source', 'run_vivado.tcl'])",12.297138893604279
356963,640,0,3888,9.463,2.964,0.019,2.945,0.05370000000000008,64,16,6,14,0.009260587133593748,0.013363321103898818,success,32.26361087163289
95009,480,0,3888,9.291,2.961,0.016,2.945,0.07089999999999996,64,16,6,9,0.009564108066666665,0.013728842901007439,success,18.58926008542379
418852,320,0,0,9.221,2.95,0.005,2.944,0.0779,64,16,6,4,0.08990303188333333,0.12984830349049686,success,18.572373139858247
0,0,0,0,0.0,0.0,0.0,0.0,0.0,32,16,6,24,0.0,0.0,"exception: (137, ['/tools/Xilinx/Vivado/2024.1/bin/vivado', '-mode', 'batch', '-source', 'run_vivado.tcl'])",11.52409436305364
0,0,0,0,0.0,0.0,0.0,0.0,0.0,32,16,6,19,0.0,0.0,"exception: (137, ['/tools/Xilinx/Vivado/2024.1/bin/vivado', '-mode', 'batch', '-source', 'run_vivado.tcl'])",7.29014778137207
218944,640,0,2352,9.247,2.962,0.018,2.945,0.0753,32,16,6,14,0.009433578459244793,0.013791605946192163,success,18.855131995677947
59722,480,0,2352,9.365,2.959,0.014,2.945,0.06349999999999997,32,16,6,9,0.009737583641666667,0.014049785994502198,success,12.050908438364665
252552,320,0,0,9.303,2.95,0.005,2.944,0.06969999999999991,32,16,6,4,0.07816653644166667,0.11179245206740016,success,11.792440072695415
0,0,0,0,0.0,0.0,0.0,0.0,0.0,16,16,6,24,0.0,0.0,"exception: (137, ['/tools/Xilinx/Vivado/2024.1/bin/vivado', '-mode', 'batch', '-source', 'run_vivado.tcl'])",8.133697279294331
69857,800,0,3168,9.392,3.125,0.178,2.948,0.060800000000000055,16,16,6,19,0.008631483875842283,0.012600695951801107,success,17.12916524807612
149845,640,0,1584,9.247,2.96,0.016,2.945,0.0753,16,16,6,14,0.008627092303385415,0.012594048935849407,success,12.893197198708853
41966,480,0,1584,9.215,2.959,0.014,2.945,0.07850000000000001,16,16,6,9,0.008802890687499999,0.012785600870595052,success,8.698053566614787
169895,320,0,0,9.353,2.95,0.006,2.944,0.06470000000000002,16,16,6,4,0.06452996659999999,0.09361422664010648,success,8.75221836566925
111506,960,0,4800,8.772,3.375,0.422,2.952,0.12279999999999998,8,16,6,24,0.008044682385911307,0.011862938158713346,success,22.800978287061056
55193,800,0,2400,9.291,3.084,0.137,2.947,0.07089999999999996,8,16,6,19,0.008044543209065756,0.01186284945685111,success,12.970727078119914
114915,640,0,1200,9.054,2.96,0.016,2.945,0.09459999999999998,8,16,6,14,0.008045005050130208,0.011859868525134484,success,10.369571312268574
33144,480,0,1200,9.373,2.959,0.015,2.945,0.06270000000000006,8,16,6,9,0.008166841375000001,0.012084463032161888,success,7.335298732916514
129164,320,0,0,9.049,2.952,0.008,2.944,0.09510000000000005,8,16,6,4,0.0656460881,0.09541245982202066,success,7.222068464756012
95150,960,0,4032,9.357,3.31,0.359,2.951,0.06430000000000007,4,16,6,24,0.007946486284003322,0.011735175804838514,success,19.10738213857015
47894,800,0,2016,9.259,3.064,0.117,2.946,0.07409999999999997,4,16,6,19,0.00794656948215332,0.011735157640720603,success,12.004863607883454
97596,640,0,1008,9.25,2.96,0.015,2.945,0.075,4,16,6,14,0.007948875195442708,0.011735848723168841,success,9.48648994366328
28802,480,0,1008,9.411,2.959,0.015,2.945,0.05890000000000004,4,16,6,9,0.008071478558333333,0.011779353902525077,success,6.601169820626577
108577,320,0,0,9.099,2.951,0.007,2.944,0.09009999999999999,4,16,6,4,0.06156810874166666,0.08601074267294347,success,6.586134036382039
0,0,0,0,0.0,0.0,0.0,0.0,0.0,64,12,6,24,0.0,0.0,"exception: (137, ['/tools/Xilinx/Vivado/2024.1/bin/vivado', '-mode', 'batch', '-source', 'run_vivado.tcl'])",13.744357474644978
0,0,0,0,0.0,0.0,0.0,0.0,0.0,64,12,6,19,0.0,0.0,"exception: (137, ['/tools/Xilinx/Vivado/2024.1/bin/vivado', '-mode', 'batch', '-source', 'run_vivado.tcl'])",8.045600815614064
254907,480,0,2772,9.246,2.959,0.015,2.945,0.07539999999999995,64,12,6,14,0.009388623230208335,0.013916341734916704,success,22.0815149863561
67897,360,0,2772,9.402,2.958,0.014,2.945,0.059800000000000075,64,12,6,9,0.009732276055555553,0.014029766805854217,success,14.040069580078125
298030,240,0,0,9.271,2.949,0.005,2.944,0.07289999999999992,64,12,6,4,0.08990802945555557,0.12722512029551836,success,13.714736211299897
0,0,0,0,0.0,0.0,0.0,0.0,0.0,32,12,6,24,0.0,0.0,"exception: (137, ['/tools/Xilinx/Vivado/2024.1/bin/vivado', '-mode', 'batch', '-source', 'run_vivado.tcl'])",7.73807627360026
68776,600,0,3240,9.113,3.125,0.178,2.948,0.08870000000000004,32,12,6,19,0.008978848991867404,0.012930068808252223,success,17.447181232770284
151300,480,0,1620,9.31,2.957,0.012,2.944,0.06899999999999995,32,12,6,14,0.008988674833333333,0.012934572716784914,success,13.333668919404348
41355,360,0,1620,9.22,2.956,0.012,2.944,0.07799999999999993,32,12,6,9,0.009416382400000001,0.013270935050264552,success,8.833094863096873
174067,240,0,0,9.283,2.95,0.006,2.944,0.07170000000000006,32,12,6,4,0.07209196057777777,0.1045904864399257,success,8.826936821142832
95799,720,0,4176,9.341,3.318,0.367,2.951,0.06590000000000007,16,12,6,24,0.008470981040630253,0.012287502418694739,success,19.014508549372355
46838,600,0,2088,9.407,3.064,0.118,2.946,0.0593,16,12,6,19,0.008471095547775606,0.01228748885022403,success,11.464840749899546
99008,480,0,1044,9.332,2.958,0.014,2.945,0.06679999999999993,16,12,6,14,0.008473395286458333,0.012287213969101403,success,9.431184192498526
28202,360,0,1044,9.371,2.955,0.011,2.944,0.06289999999999996,16,12,6,9,0.008699044049999998,0.012426203360192262,success,6.606955099105835
112181,240,0,0,9.371,2.949,0.004,2.944,0.06289999999999996,16,12,6,4,0.0704959831,0.10409339898271139,success,7.244475400447845
0,0,0,0,0.0,0.0,0.0,0.0,0.0,8,12,6,24,0.0,0.0,"exception: (139, ['/tools/Xilinx/Vivado/2024.1/bin/vivado', '-mode', 'batch', '-source', 'run_vivado.tcl'])",10.391980572541554
35861,600,0,1512,9.304,3.035,0.09,2.946,0.06959999999999997,8,12,6,19,0.007806502164333767,0.012222859618851514,success,9.407577554384867
73597,480,0,756,9.309,2.957,0.012,2.944,0.06910000000000008,8,12,6,14,0.007814134195833333,0.012232986585106749,success,7.504236682256063
21560,360,0,756,9.162,2.957,0.012,2.944,0.08379999999999992,8,12,6,9,0.007983615305555554,0.012259580865121415,success,5.712311681111654
81378,240,0,0,9.226,2.95,0.005,2.944,0.07739999999999991,8,12,6,4,0.05320110948888889,0.07452078096383746,success,5.865170272191365
59566,720,0,2448,9.273,3.17,0.222,2.948,0.07270000000000003,4,12,6,24,0.006827885416706679,0.011013893077198696,success,11.90975887775421
30483,600,0,1224,9.291,3.021,0.076,2.946,0.07089999999999996,4,12,6,19,0.006827895218359375,0.011013768455890818,success,7.86391304731369
60416,480,0,612,9.244,2.957,0.013,2.944,0.07560000000000003,4,12,6,14,0.006827170632812501,0.011010726183600668,success,6.673697006702423
18287,360,0,612,9.314,2.954,0.009,2.944,0.0686,4,12,6,9,0.007008063711111112,0.011069785887813426,success,5.046508324146271
65839,240,0,0,9.247,2.949,0.005,2.944,0.0753,4,12,6,4,0.04428889648888889,0.06133950842008342,success,5.059746742248535
0,0,0,0,0.0,0.0,0.0,0.0,0.0,64,8,6,24,0.0,0.0,"exception: (137, ['/tools/Xilinx/Vivado/2024.1/bin/vivado', '-mode', 'batch', '-source', 'run_vivado.tcl'])",7.350951878229777
71418,400,0,3504,9.29,3.135,0.188,2.948,0.07100000000000009,64,8,6,19,0.00924157631870931,0.013282120253952171,success,17.96611613035202
161290,320,0,1752,9.348,2.954,0.01,2.944,0.06519999999999992,64,8,6,14,0.009235665706250002,0.013272733640787772,success,14.44898901383082
43057,240,0,1752,9.399,2.953,0.009,2.944,0.060100000000000084,64,8,6,9,0.009572952408333333,0.01372236481661818,success,9.15350400209427
187804,160,0,0,9.082,2.947,0.003,2.944,0.09179999999999992,64,8,6,4,0.09989566421666667,0.14794074607910074,success,9.221701117356618
87975,480,0,3936,9.228,3.291,0.341,2.951,0.07720000000000002,32,8,6,24,0.008513196077574415,0.012147932085156927,success,18.365245791276298
42221,400,0,1968,9.284,3.055,0.109,2.946,0.07159999999999993,32,8,6,19,0.008513525591918947,0.0121480389805204,success,10.786006645361583
92112,320,0,984,9.082,2.952,0.008,2.944,0.09179999999999992,32,8,6,14,0.008515226244531252,0.012152530749135937,success,8.90132896900177
25398,240,0,984,9.296,2.953,0.009,2.944,0.07040000000000006,32,8,6,9,0.008849669525000001,0.012641680930129646,success,6.304615394274394
105399,160,0,0,9.194,2.947,0.003,2.944,0.08059999999999992,32,8,6,4,0.07162253751666665,0.10056506457577193,success,6.4126074393590295
55814,480,0,2400,8.911,3.161,0.213,2.948,0.10890000000000004,16,8,6,24,0.00915965350132446,0.01319657269357915,success,11.499740632375081
27558,400,0,1200,9.39,3.015,0.07,2.946,0.06099999999999994,16,8,6,19,0.009159406340730791,0.013196172579036916,success,7.568578600883484
57615,320,0,600,9.383,2.954,0.009,2.944,0.06170000000000009,16,8,6,14,0.009158449487499996,0.01319662306304243,success,6.485739811261495
16590,240,0,600,9.464,2.951,0.007,2.944,0.05359999999999996,16,8,6,9,0.009040215766666665,0.01303226342823849,success,4.964712556203207
64504,160,0,0,9.247,2.949,0.004,2.944,0.0753,16,8,6,4,0.057644442866666666,0.07544223526648125,success,4.915384606520335
39464,480,0,1632,9.32,3.095,0.148,2.947,0.06799999999999998,8,8,6,24,0.007862006621995035,0.010222655165747259,success,8.99524176120758
20345,400,0,816,9.41,2.995,0.05,2.945,0.05899999999999998,8,8,6,19,0.007862064637182616,0.010222600361635227,success,6.353829634189606
40332,320,0,408,9.405,2.952,0.008,2.944,0.05950000000000007,8,8,6,14,0.007863116907291667,0.010224390311308666,success,5.409825829664866
12167,240,0,408,9.39,2.95,0.006,2.944,0.06099999999999994,8,8,6,9,0.007973646708333332,0.010342095536496594,success,4.291347587108612
43851,160,0,0,9.245,2.948,0.004,2.944,0.07550000000000008,8,8,6,4,0.05608614143333333,0.07371092189386486,success,3.995836313565572
31648,480,0,1248,9.353,3.062,0.115,2.946,0.06470000000000002,4,8,6,24,0.008084804178958637,0.01095132872769411,success,7.654597914218902
16685,400,0,624,9.31,2.983,0.038,2.945,0.06899999999999995,4,8,6,19,0.008084796430354816,0.01095131576690774,success,5.255264441172282
31601,320,0,312,9.146,2.952,0.007,2.944,0.08539999999999992,4,8,6,14,0.008079855284895831,0.010941294439104493,success,4.757944603761037
9949,240,0,312,9.291,2.95,0.006,2.944,0.07089999999999996,4,8,6,9,0.008030523333333333,0.010861470139045409,success,3.782836918036143
33496,160,0,0,9.345,2.948,0.004,2.944,0.06549999999999993,4,8,6,4,0.05133194046666666,0.0649214693503221,success,3.4844234267870586
0,0,0,0,0.0,0.0,0.0,0.0,0.0,64,6,6,24,0.0,0.0,"exception: (137, ['/tools/Xilinx/Vivado/2024.1/bin/vivado', '-mode', 'batch', '-source', 'run_vivado.tcl'])",5.401749304930369
52196,300,0,2556,9.216,3.085,0.138,2.947,0.07840000000000007,64,6,6,19,0.009127196295605466,0.013276595532173422,success,13.558414248625438
117873,240,0,1278,9.241,2.952,0.007,2.944,0.07590000000000004,64,6,6,14,0.00912863791111111,0.013281392132840705,success,10.661812210083008
31509,180,0,1278,9.412,2.951,0.007,2.944,0.05879999999999992,64,6,6,9,0.009364449133333331,0.01367414912062773,success,7.241253058115642
136971,120,0,0,9.221,2.947,0.003,2.944,0.0779,64,6,6,4,0.09047593851111112,0.13352729309478933,success,7.484546116987864
62988,360,0,2808,9.369,3.194,0.245,2.949,0.06310000000000002,32,6,6,24,0.010114201990460203,0.01449029661612171,success,13.705508728822073
30227,300,0,1404,9.364,3.024,0.078,2.946,0.06359999999999992,32,6,6,19,0.010114303472092011,0.014490245734102047,success,8.178791725635529
66095,240,0,702,9.369,2.951,0.007,2.944,0.06310000000000002,32,6,6,14,0.010114489968402775,0.01448064561624385,success,7.33310778538386
18283,180,0,702,9.397,2.95,0.006,2.944,0.06029999999999998,32,6,6,9,0.01050847902222222,0.01502109661000293,success,5.350226155916849
75195,120,0,0,9.253,2.947,0.003,2.944,0.07469999999999999,32,6,6,4,0.07732597344444445,0.10528448231886674,success,5.296099257469177
38822,360,0,1656,9.126,3.094,0.147,2.947,0.08740000000000006,16,6,6,24,0.008001762706534493,0.011917438617625802,success,9.150787754853566
19362,300,0,828,9.302,2.994,0.049,2.945,0.06980000000000004,16,6,6,19,0.008001422695149741,0.011916621906397133,success,6.2321939945220945
40045,240,0,414,9.347,2.951,0.007,2.944,0.06530000000000005,16,6,6,14,0.007998570149305556,0.011913026791260667,success,5.361485044161479
11631,180,0,414,9.395,2.949,0.005,2.944,0.06050000000000004,16,6,6,9,0.008678483455555556,0.01290882797344691,success,4.159923175970714
44518,120,0,0,9.406,2.948,0.004,2.944,0.05939999999999994,16,6,6,4,0.05721475408888889,0.08142729964817942,success,4.00915588537852
26648,360,0,1080,9.29,3.045,0.099,2.946,0.07100000000000009,8,6,6,24,0.006326125088709514,0.008569515267626305,success,6.83142286936442
13864,300,0,540,9.224,2.978,0.033,2.945,0.07759999999999997,8,6,6,19,0.006326148533203125,0.008569621791211054,success,4.682726649443309
26924,240,0,270,9.433,2.95,0.005,2.944,0.056700000000000014,8,6,6,14,0.006318197008680556,0.008559820792026138,success,4.167964343229929
8241,180,0,270,9.384,2.949,0.004,2.944,0.06159999999999997,8,6,6,9,0.006112624733333333,0.008373742184978933,success,3.3195623119672137
29013,120,0,0,9.361,2.947,0.002,2.944,0.06389999999999993,8,6,6,4,0.04823091633333333,0.06407695617125982,success,3.3179925402005512
20549,360,0,792,9.428,3.021,0.075,2.946,0.05719999999999992,4,6,6,24,0.005838201037058141,0.00816226807562284,success,5.927612614631653
11079,300,0,396,9.244,2.971,0.026,2.945,0.07560000000000003,4,6,6,19,0.005838189910857782,0.008162128495644131,success,4.067007454236348
20409,240,0,198,9.373,2.95,0.005,2.944,0.06270000000000006,4,6,6,14,0.005824971993214552,0.008150590070608423,success,3.664203917980194
6701,180,0,198,9.347,2.949,0.004,2.944,0.06530000000000005,4,6,6,9,0.0058999349435617755,0.00801190773221854,success,2.846709843476613
21256,120,0,0,9.276,2.947,0.003,2.944,0.07240000000000002,4,6,6,4,0.042676156388006224,0.055889742200705486,success,2.953932805856069
72328,240,0,3312,9.392,3.232,0.283,2.949,0.060800000000000055,64,4,6,24,0.01024346622164358,0.014459251729129046,success,15.834451079368591
33884,200,0,1656,9.361,3.035,0.089,2.946,0.06389999999999993,64,4,6,19,0.010243728283398442,0.014459715646617136,success,9.525937688350677
76505,160,0,828,8.211,2.951,0.006,2.944,0.17889999999999998,64,4,6,14,0.010250213268750004,0.014457171472302183,success,7.680895241101583
