==========================================================
GRU Cell Parallel Cycle Count Results
==========================================================
Parameters:
  D (Input Dimension):     64
  H (Hidden Dimension):    16
  DATA_WIDTH:              13
  FRAC_BITS:               3
  NUM_PARALLEL:            8
  Total Test Vectors:      100
==========================================================

Test Vector   1: 28 cycles (0.28 us @ 100MHz)
Test Vector   2: 28 cycles (0.28 us @ 100MHz)
Test Vector   3: 28 cycles (0.28 us @ 100MHz)
Test Vector   4: 28 cycles (0.28 us @ 100MHz)
Test Vector   5: 28 cycles (0.28 us @ 100MHz)
Test Vector   6: 28 cycles (0.28 us @ 100MHz)
Test Vector   7: 28 cycles (0.28 us @ 100MHz)
Test Vector   8: 28 cycles (0.28 us @ 100MHz)
Test Vector   9: 28 cycles (0.28 us @ 100MHz)
Test Vector  10: 28 cycles (0.28 us @ 100MHz)
Test Vector  11: 28 cycles (0.28 us @ 100MHz)
Test Vector  12: 28 cycles (0.28 us @ 100MHz)
Test Vector  13: 28 cycles (0.28 us @ 100MHz)
Test Vector  14: 28 cycles (0.28 us @ 100MHz)
Test Vector  15: 28 cycles (0.28 us @ 100MHz)
Test Vector  16: 28 cycles (0.28 us @ 100MHz)
Test Vector  17: 28 cycles (0.28 us @ 100MHz)
Test Vector  18: 28 cycles (0.28 us @ 100MHz)
Test Vector  19: 28 cycles (0.28 us @ 100MHz)
Test Vector  20: 28 cycles (0.28 us @ 100MHz)
Test Vector  21: 28 cycles (0.28 us @ 100MHz)
Test Vector  22: 28 cycles (0.28 us @ 100MHz)
Test Vector  23: 28 cycles (0.28 us @ 100MHz)
Test Vector  24: 28 cycles (0.28 us @ 100MHz)
Test Vector  25: 28 cycles (0.28 us @ 100MHz)
Test Vector  26: 28 cycles (0.28 us @ 100MHz)
Test Vector  27: 28 cycles (0.28 us @ 100MHz)
Test Vector  28: 28 cycles (0.28 us @ 100MHz)
Test Vector  29: 28 cycles (0.28 us @ 100MHz)
Test Vector  30: 28 cycles (0.28 us @ 100MHz)
Test Vector  31: 28 cycles (0.28 us @ 100MHz)
Test Vector  32: 28 cycles (0.28 us @ 100MHz)
Test Vector  33: 28 cycles (0.28 us @ 100MHz)
Test Vector  34: 28 cycles (0.28 us @ 100MHz)
