LUTs,Registers,BRAMs,DSPs,WNS (ns),Total Power (W),Dynamic Power (W),Static Power (W),result,Cycles,Clock Period,Frac Width,Num Parallel,Int Bits,D,H,MAE,RMSE,Execution Time (m),Time Utilization
39027,701,0,258,0.187,3.081,0.135,2.947,success,84.0,10,1.0,1.0,10.0,64,16,0.7614010584812501,0.9194911624781473,9.88822118838628,
41876,1075,0,258,-0.395,3.085,0.138,2.947,success,84.0,10,2.0,1.0,10.0,64,16,1.01006924373125,1.1574551862223066,14.484323318799337,
46148,1302,0,258,0.004,3.108,0.161,2.947,success,84.0,10,3.0,1.0,10.0,64,16,0.9390916732812501,1.0722403503793656,17.314493529001872,
48736,1402,0,258,-0.854,3.118,0.171,2.947,success,84.0,10,4.0,1.0,10.0,64,16,0.64002444098125,0.7594340071120249,16.70162771145503,
52483,1511,0,258,-0.587,3.091,0.144,2.947,success,84.0,10,5.0,1.0,10.0,64,16,0.27805653911875,0.3560365063928123,18.68406679232915,
56023,1610,0,258,-0.967,3.097,0.15,2.947,success,84.0,10,6.0,1.0,10.0,64,16,0.12189346498125002,0.16220259148785396,23.357363748550416,
59645,1729,0,258,-1.137,3.135,0.187,2.948,success,84.0,10,7.0,1.0,10.0,64,16,0.05826738945624999,0.08097655801932363,18.58915488322576,
62898,1830,0,258,-1.195,3.118,0.171,2.947,success,84.0,10,8.0,1.0,10.0,64,16,0.033574943924999996,0.05053242287889409,20.168374991416933,
65894,1928,0,258,-1.063,3.144,0.196,2.948,success,84.0,10,9.0,1.0,10.0,64,16,0.024583378184374997,0.04184172145540223,25.99857527812322,
81021,1966,0,258,-2.175,3.143,0.195,2.948,success,84.0,10,10.0,1.0,10.0,64,16,0.0219452739875,0.040049592861202084,22.331069191296894,
89975,2066,0,258,-2.373,3.141,0.193,2.948,success,84.0,10,11.0,1.0,10.0,64,16,0.021599731202343753,0.03995080493353905,22.31684583425522,
99340,2166,0,258,-2.116,3.174,0.226,2.948,success,84.0,10,12.0,1.0,10.0,64,16,0.02169135383710937,0.04014095383414298,25.505595290660857,
