LUTs,Registers,BRAMs,DSPs,WNS (ns),Total Power (W),Dynamic Power (W),Static Power (W),result,Cycles,Clock Period,Frac Width,Num Parallel,Int Bits,D,H,MAE,RMSE,Execution Time (m),Time Utilization
39041,701,0,258,-6.971,3.54,0.585,2.955,success,84.0,2.0,1.0,1.0,10.0,64,16,0.7614010584812501,0.9194911624781473,9.20210390885671,
41939,1075,0,258,-8.53,3.571,0.615,2.956,success,84.0,2.0,2.0,1.0,10.0,64,16,1.01006924373125,1.1574551862223066,11.545444877942403,
46161,1302,0,258,-7.967,3.667,0.709,2.957,success,84.0,2.0,3.0,1.0,10.0,64,16,0.9390916732812501,1.0722403503793656,11.084010024865469,
48758,1402,0,258,-8.64,3.678,0.72,2.958,success,84.0,2.0,4.0,1.0,10.0,64,16,0.64002444098125,0.7594340071120249,15.121547520160675,
52512,1511,0,258,-8.491,3.935,0.973,2.962,success,84.0,2.0,5.0,1.0,10.0,64,16,0.27805653911875,0.3560365063928123,12.834316527843475,
56094,1610,0,258,-9.497,3.788,0.829,2.96,success,84.0,2.0,6.0,1.0,10.0,64,16,0.12189346498125002,0.16220259148785396,18.71065289179484,
59715,1729,0,258,-8.838,3.887,0.925,2.961,success,84.0,2.0,7.0,1.0,10.0,64,16,0.05826738945624999,0.08097655801932363,17.68798642953237,
62841,1830,0,258,-9.805,3.853,0.892,2.961,success,84.0,2.0,8.0,1.0,10.0,64,16,0.033574943924999996,0.05053242287889409,19.478700451056163,
65972,1928,0,258,-9.887,3.969,1.006,2.963,success,84.0,2.0,9.0,1.0,10.0,64,16,0.024583378184374997,0.04184172145540223,14.41073842048645,
81078,1966,0,258,-9.835,3.926,0.964,2.962,success,84.0,2.0,10.0,1.0,10.0,64,16,0.0219452739875,0.040049592861202084,24.444844885667166,
89979,2066,0,258,-10.186,4.128,1.162,2.966,success,84.0,2.0,11.0,1.0,10.0,64,16,0.021599731202343753,0.03995080493353905,22.00592841307322,
43204,682,0,516,-6.355,3.671,0.713,2.957,success,52.0,2.0,1.0,2.0,10.0,64,16,0.7614010584812501,0.9194911624781473,11.878102680047354,
47866,1079,0,516,-7.551,3.675,0.717,2.958,success,52.0,2.0,2.0,2.0,10.0,64,16,1.01006924373125,1.1574551862223066,22.789214440186818,
52558,1307,0,516,-7.604,3.735,0.776,2.959,success,52.0,2.0,3.0,2.0,10.0,64,16,0.9390916732812501,1.0722403503793656,20.8886017203331,
